Node: 0, Time: +30s, Local time: +30s, Ipv4StaticRouting table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
20.0.12.0       10.0.5.2        255.255.255.0   UGS   200    -      -   1
20.0.13.0       10.0.5.2        255.255.255.0   UGS   255    -      -   1

Node: 11, Time: +30s, Local time: +30s, Ipv4StaticRouting table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
127.0.0.0       0.0.0.0         255.0.0.0       U     0      -      -   0
10.0.5.0        0.0.0.0         255.255.255.0   U     0      -      -   1
20.0.4.0        0.0.0.0         255.255.255.0   U     0      -      -   2
20.0.9.0        20.0.4.2        255.255.255.0   UGS   70     -      -   2
10.0.6.0        10.0.5.1        255.255.255.0   UGS   68     -      -   1
10.0.10.0       20.0.4.2        255.255.255.0   UGS   81     -      -   2
20.0.10.0       20.0.4.2        255.255.255.0   UGS   117    -      -   2
10.0.11.0       20.0.4.2        255.255.255.0   UGS   125    -      -   2
10.0.9.0        10.0.5.1        255.255.255.0   UGS   101    -      -   1
20.0.8.0        10.0.5.1        255.255.255.0   UGS   90     -      -   1
10.0.14.0       20.0.4.2        255.255.255.0   UGS   155    -      -   2
20.0.22.0       20.0.4.2        255.255.255.0   UGS   144    -      -   2
10.0.2.0        10.0.5.1        255.255.255.0   UGS   128    -      -   1
20.0.7.0        10.0.5.1        255.255.255.0   UGS   128    -      -   1
20.0.5.0        10.0.5.1        255.255.255.0   UGS   182    -      -   1
20.0.6.0        10.0.5.1        255.255.255.0   UGS   118    -      -   1
10.0.8.0        10.0.5.1        255.255.255.0   UGS   137    -      -   1
20.0.12.0       20.0.4.2        255.255.255.0   UGS   190    -      -   2
20.0.13.0       20.0.4.2        255.255.255.0   UGS   245    -      -   2
10.0.4.0        10.0.5.1        255.255.255.0   UGS   212    -      -   1
10.0.16.0       10.0.5.1        255.255.255.0   UGS   226    -      -   1
20.0.14.0       10.0.5.1        255.255.255.0   UGS   287    -      -   1
20.0.15.0       10.0.5.1        255.255.255.0   UGS   202    -      -   1
20.0.16.0       10.0.5.1        255.255.255.0   UGS   285    -      -   1
20.0.17.0       10.0.5.1        255.255.255.0   UGS   216    -      -   1

